# (a_i, b_i) = (0.200, 0.250)
# resolution: 150
# category labels: t=tipping, n=none(tip to periodic attractors), c=converge, ns=notSufficient
# load method: df = pd.read_csv('xxx.csv', comment='#')
# protocol s >=0
category,a,b
t,1.4372705587764683,-0.9470198675496688
t,1.462375634038939,-0.9470198675496688
t,1.4874807093014104,-0.9470198675496688
t,1.5125857845638813,-0.9470198675496688
t,1.5376908598263526,-0.9470198675496688
t,1.5627959350888234,-0.9470198675496688
t,1.5879010103512947,-0.9470198675496688
t,1.6130060856137656,-0.9470198675496688
t,1.6381111608762364,-0.9470198675496688
t,1.6632162361387077,-0.9470198675496688
t,1.6883213114011786,-0.9470198675496688
t,1.7134263866636499,-0.9470198675496688
t,1.7385314619261207,-0.9470198675496688
t,1.763636537188592,-0.9470198675496688
t,1.788741612451063,-0.9470198675496688
t,1.8138466877135342,-0.9470198675496688
t,1.838951762976005,-0.9470198675496688
t,1.8640568382384763,-0.9470198675496688
t,1.8891619135009472,-0.9470198675496688
t,1.9142669887634185,-0.9470198675496688
t,1.9393720640258894,-0.9470198675496688
t,1.9644771392883602,-0.9470198675496688
t,1.9895822145508315,-0.9470198675496688
t,2.0146872898133026,-0.9470198675496688
t,2.0397923650757734,-0.9470198675496688
t,2.0648974403382443,-0.9470198675496688
t,2.090002515600716,-0.9470198675496688
t,2.115107590863187,-0.9470198675496688
t,2.1402126661256577,-0.9470198675496688
t,2.1653177413881286,-0.9470198675496688
t,2.1904228166506003,-0.9470198675496688
t,2.215527891913071,-0.9470198675496688
t,2.240632967175542,-0.9470198675496688
t,2.265738042438013,-0.9470198675496688
t,2.2908431177004838,-0.9470198675496688
t,2.3159481929629555,-0.9470198675496688
t,2.3410532682254264,-0.9470198675496688
t,2.366158343487897,-0.9470198675496688
t,2.391263418750368,-0.9470198675496688
t,2.41636849401284,-0.9470198675496688
t,2.4414735692753107,-0.9470198675496688
t,2.4665786445377815,-0.9470198675496688
t,2.4916837198002524,-0.9470198675496688
t,2.516788795062724,-0.9470198675496688
t,2.541893870325195,-0.9470198675496688
t,2.566998945587666,-0.9470198675496688
t,2.5921040208501367,-0.9470198675496688
t,2.6172090961126075,-0.9470198675496688
t,2.6423141713750793,-0.9470198675496688
t,2.66741924663755,-0.9470198675496688
t,2.692524321900021,-0.9470198675496688
t,2.717629397162492,-0.9470198675496688
t,2.7427344724249636,-0.9470198675496688
t,2.7678395476874345,-0.9470198675496688
t,2.7929446229499053,-0.9470198675496688
t,2.818049698212376,-0.9470198675496688
t,-0.9100966079708949,-0.9337748344370861
t,-0.8853319383662447,-0.9337748344370861
t,-0.8605672687615944,-0.9337748344370861
t,-0.8358025991569442,-0.9337748344370861
t,-0.811037929552294,-0.9337748344370861
t,-0.7862732599476439,-0.9337748344370861
t,-0.7615085903429937,-0.9337748344370861
t,-0.7367439207383435,-0.9337748344370861
t,-0.7119792511336933,-0.9337748344370861
t,-0.6872145815290431,-0.9337748344370861
t,-0.662449911924393,-0.9337748344370861
t,-0.6376852423197427,-0.9337748344370861
t,-0.6129205727150925,-0.9337748344370861
t,1.071076960401121,-0.9337748344370861
t,1.0958416300057712,-0.9337748344370861
t,1.1206062996104214,-0.9337748344370861
t,1.1453709692150715,-0.9337748344370861
t,1.1701356388197217,-0.9337748344370861
t,1.194900308424372,-0.9337748344370861
t,1.219664978029022,-0.9337748344370861
t,1.2444296476336723,-0.9337748344370861
t,1.293958986842973,-0.9337748344370861
t,1.3187236564476232,-0.9337748344370861
t,1.3434883260522734,-0.9337748344370861
t,1.3682529956569236,-0.9337748344370861
t,1.3930176652615738,-0.9337748344370861
t,1.417782334866224,-0.9337748344370861
t,1.4425470044708741,-0.9337748344370861
t,1.4673116740755243,-0.9337748344370861
t,1.4920763436801745,-0.9337748344370861
t,1.5168410132848247,-0.9337748344370861
t,1.5416056828894749,-0.9337748344370861
t,1.566370352494125,-0.9337748344370861
t,1.5911350220987752,-0.9337748344370861
t,1.6158996917034254,-0.9337748344370861
t,1.6406643613080756,-0.9337748344370861
t,1.6654290309127258,-0.9337748344370861
t,1.690193700517376,-0.9337748344370861
t,1.7149583701220261,-0.9337748344370861
t,1.7397230397266763,-0.9337748344370861
t,1.7644877093313265,-0.9337748344370861
t,1.7892523789359767,-0.9337748344370861
t,1.8140170485406268,-0.9337748344370861
t,1.838781718145277,-0.9337748344370861
t,1.8635463877499272,-0.9337748344370861
t,1.8883110573545774,-0.9337748344370861
t,1.9130757269592276,-0.9337748344370861
t,1.9378403965638782,-0.9337748344370861
t,1.9626050661685284,-0.9337748344370861
t,1.9873697357731785,-0.9337748344370861
t,2.0121344053778287,-0.9337748344370861
t,2.036899074982479,-0.9337748344370861
t,2.061663744587129,-0.9337748344370861
t,2.0864284141917793,-0.9337748344370861
t,2.1111930837964294,-0.9337748344370861
t,2.1359577534010796,-0.9337748344370861
t,2.16072242300573,-0.9337748344370861
t,2.18548709261038,-0.9337748344370861
t,2.21025176221503,-0.9337748344370861
t,2.2350164318196803,-0.9337748344370861
t,2.2597811014243305,-0.9337748344370861
t,2.2845457710289807,-0.9337748344370861
t,2.309310440633631,-0.9337748344370861
t,2.334075110238281,-0.9337748344370861
t,2.3588397798429313,-0.9337748344370861
t,2.3836044494475814,-0.9337748344370861
t,2.4083691190522316,-0.9337748344370861
t,2.433133788656882,-0.9337748344370861
t,2.457898458261532,-0.9337748344370861
t,2.482663127866182,-0.9337748344370861
t,2.5074277974708323,-0.9337748344370861
t,2.5321924670754825,-0.9337748344370861
t,2.556957136680133,-0.9337748344370861
t,2.5817218062847833,-0.9337748344370861
t,2.6064864758894335,-0.9337748344370861
t,2.6312511454940837,-0.9337748344370861
t,2.656015815098734,-0.9337748344370861
t,2.680780484703384,-0.9337748344370861
t,2.705545154308034,-0.9337748344370861
t,2.7303098239126844,-0.9337748344370861
t,2.7550744935173346,-0.9337748344370861
t,2.7798391631219848,-0.9337748344370861
t,-0.8976720919089468,-0.9205298013245033
t,-0.8732455043740095,-0.9205298013245033
t,-0.8488189168390722,-0.9205298013245033
t,-0.8243923293041349,-0.9205298013245033
t,-0.7999657417691974,-0.9205298013245033
t,-0.7755391542342601,-0.9205298013245033
t,-0.7511125666993228,-0.9205298013245033
t,-0.7266859791643855,-0.9205298013245033
t,-0.7022593916294482,-0.9205298013245033
t,-0.6778328040945109,-0.9205298013245033
t,-0.6534062165595735,-0.9205298013245033
t,-0.6289796290246361,-0.9205298013245033
t,1.080881498420977,-0.9205298013245033
t,1.1297346734908518,-0.9205298013245033
t,1.1785878485607262,-0.9205298013245033
t,1.2030144360956634,-0.9205298013245033
t,1.227441023630601,-0.9205298013245033
t,1.2518676111655382,-0.9205298013245033
t,1.2762941987004754,-0.9205298013245033
t,1.300720786235413,-0.9205298013245033
